Name,Cells,Common (1),Uncommon (2),Rare (3),Epic (4),Legendary (5),Unreal (6),Common (1),Uncommon (2),Rare (3),Epic (4),Legendary (5),Unreal (6),set,Common ID,Uncommon ID,Rare,Epic ID,Legendary ID,Unreal ID,Legacy ID,Legacy
Merry Dancers,2,22 400,58800,154350,405195,1063650,2792160,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6398e9e195b70ff678b1e56d,6399c38c1c483a58f70e9e02,6399c38d1c483a58f70e9e10,6399c38e1c483a58f70e9e1e,6399c38e1c483a58f70e9e2c,6399c38f1c483a58f70e9e3a,,
Gingerbread House,2,22 000,57750,151620,398055,1044960,2743020,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6398e9e195b70ff678b1e56e,6399c3901c483a58f70e9e48,6399c3911c483a58f70e9e56,6399c3931c483a58f70e9e64,6399c3931c483a58f70e9e72,6399c3951c483a58f70e9e80,,
RollingDoll House,2,82 023,215355,565320,1483965,3895500,10225740,0.50%,0.55%,1.66%,2.08%,2.60%,3.90%,,63a5ae7784f0c13b2e30d554,63a5b487df88579b4157b937,63a5b488df88579b4157b947,63a5b489df88579b4157b955,63a5b48adf88579b4157b963,63a5b48adf88579b4157b971,,
Frozen Brownie,2,242 023,635355,1667820,4378080,11492460,30167760,1.00%,1.65%,2.52%,3.15%,3.93%,5.90%,,63ac54fbbc0da509117727f4,63ac630ec620834124eeeb03,63ac6310c620834124eeeb15,63ac6311c620834124eeeb23,63ac6312c620834124eeeb31,63ac6313c620834124eeeb3f,,
Almost Switch,2,582 023,1527855,4010685,10528140,27636420,72545655,2.00%,3.12%,4.91%,6.13%,7.67%,11.50%,,63bffdd0d2e89bab14ff95bc,63c013408606868c5f3478c0,63c013418606868c5f3478d0,63c013428606868c5f3478de,63c013438606868c5f3478ec,63c013448606868c5f3478fa,,
Chattanooga Choo,2,20 230,53130,139545,366345,961695,2524515,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,63bffdd0d2e89bab14ff95bd,63c013458606868c5f347908,63c013458606868c5f347916,63c013468606868c5f347924,63c013478606868c5f347932,63c013488606868c5f347940,,
Satoshi's Legacy,2,647 200,1698900,4459665,11706660,30730035,80666355,0.00%,1.64%,4.91%,6.13%,7.67%,11.50%,,63b3f30c547cfab9a2ffbaba,63b3f9efb1cb2d6c25735135,63b3f9efb1cb2d6c25735145,63b3f9f0b1cb2d6c25735153,63b3f9f1b1cb2d6c25735161,63b3f9f2b1cb2d6c2573516f,,
Magma,2,210 000,551250,1447110,3798690,9971640,26175555,0.00%,0.73%,2.18%,2.72%,3.40%,5.10%,,63d8ffb0547cfab9a29e1566,63d90be408311b97a96a9c02,63d90be408311b97a96a9c12,63d90be508311b97a96a9c20,63d90be608311b97a96a9c2e,63d90be708311b97a96a9c3c,,
Wavestorm,2,210 000,551250,1447110,3798690,9971640,26175555,0.00%,0.73%,2.18%,2.72%,3.40%,5.10%,,63d900ee547cfab9a2a3c5cd,63d90be808311b97a96a9c4a,63d90be908311b97a96a9c58,63d90be908311b97a96a9c66,63d90bea08311b97a96a9c74,63d90beb08311b97a96a9c82,,
Earthbind,2,210 000,551250,1447110,3798690,9971640,26175555,0.00%,0.73%,2.18%,2.72%,3.40%,5.10%,,63d90106547cfab9a2a43623,63d90bec08311b97a96a9c90,63d90bed08311b97a96a9c9e,63d90bee08311b97a96a9cac,63d90bef08311b97a96a9cba,63d90bef08311b97a96a9cc8,,
Windwalk,2,210 000,551250,1447110,3798690,9971640,26175555,0.00%,0.73%,2.18%,2.72%,3.40%,5.10%,,63d9011f547cfab9a2a4a4b9,63d90bf008311b97a96a9cd6,63d90bf108311b97a96a9ce4,63d90bf208311b97a96a9cf2,63d90bf308311b97a96a9d00,63d90bf308311b97a96a9d0e,,
The Primordial,2,8 400 000, 85 000 000, 200 000 000,1 000 000 000,,,5%,15%,35%,70%,,,,63ecc9a6547cfab9a233770e,68efb7019f36c49e72ead615,68efb7019f36c49e72ead61d,68efb7019f36c49e72ead625,,,,
Richard Lindon 143,2,620 000,1627500,4272240,11214630,29438430,77275905,2.00%,3.30%,4.91%,6.13%,7.67%,11.50%,,63e6140d547cfab9a27b449c,63e61b1b457dbbcf9501b633,63e61b1c457dbbcf9501b643,63e61b1d457dbbcf9501b651,63e61b1e457dbbcf9501b65f,63e61b1e457dbbcf9501b66d,,
Heartbeat,2,176 000,462000,1212750,3183495,8356740,21936495,0.00%,0.61%,1.83%,2.29%,2.87%,4.30%,,63e61425547cfab9a27bcc78,63e61b1f457dbbcf9501b67b,63e61b20457dbbcf9501b689,63e61b21457dbbcf9501b697,63e61b22457dbbcf9501b6a5,63e61b22457dbbcf9501b6b3,,
Velociminer,2,38 750,101745,267120,701190,1840650,4831785,0.10%,0.55%,1.66%,2.08%,2.60%,3.90%,,63bffdd0d2e89bab14ff95b9,63c013498606868c5f34794e,63c0134a8606868c5f34795c,63c0134a8606868c5f34796a,63c0134b8606868c5f347978,63c0134c8606868c5f347986,,
M-Rex,2,314 100,824565,2164575,5682075,14915460,39153135,0.50%,1.10%,3.29%,4.11%,5.13%,7.70%,,63bffdd0d2e89bab14ff95ba,63c0134d8606868c5f347994,63c0134e8606868c5f3479a2,63c0134f8606868c5f3479b0,63c013508606868c5f3479be,63c013508606868c5f3479cc,,
Minerzilla,2,572 400,1502550,3944220,10353630,27178305,71343090,1.00%,1.64%,4.91%,6.13%,7.67%,11.50%,,63bffdd0d2e89bab14ff95bb,63c013518606868c5f3479da,63c013528606868c5f3479e8,63c013538606868c5f3479f6,63c013548606868c5f347a04,63c013548606868c5f347a12,,
Turkey Aid 2023,2,100,,,,,,0.00%,,,,,,,63e4fe2b547cfab9a240e681,,,,,,,
Shaolin Temple,2,112 850,296310,777840,2041830,5359830,14069580,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,63ca6f1d547cfab9a2c51bc2,63ca8f60a882e7a24995ca92,63ca8f61a882e7a24995caa5,63ca8f62a882e7a24995cab3,63ca8f63a882e7a24995cac1,63ca8f64a882e7a24995cacf,,
Tu Nian,2,339 150,890295,2337090,6134940,16104270,42273735,0.00%,1.18%,3.54%,4.43%,5.53%,8.30%,,63ca82bf547cfab9a2426a98,63ca8f65a882e7a24995cadd,63ca8f65a882e7a24995caeb,63ca8f66a882e7a24995caf9,63ca8f67a882e7a24995cb07,63ca8f68a882e7a24995cb15,,
Mascarado,2,252 000,661500,1736490,4558365,11965800,31410225,1.50%,2.20%,2.65%,3.31%,4.13%,6.20%,,63eb62ea547cfab9a29dbe0d,63eba168ccd07b6d1a43f442,63eba169ccd07b6d1a43f452,63eba16accd07b6d1a43f460,63eba16bccd07b6d1a43f46e,63eba16cccd07b6d1a43f47c,,
Tamborim,2,452 000,1186500,3114615,8175930,21461895,56337540,3.00%,3.70%,4.69%,5.87%,7.33%,11.00%,,63eb6320547cfab9a29ef912,63eba16cccd07b6d1a43f48a,63eba16dccd07b6d1a43f498,63eba16eccd07b6d1a43f4a6,63eba16fccd07b6d1a43f4b4,63eba170ccd07b6d1a43f4c2,,
Paddy's Pub,2,276 500,725865,1905435,5001780,13129725,34465620,1.50%,2.20%,2.86%,3.57%,4.47%,6.70%,,64108b75547cfab9a2334b56,6411a5b80c22643b62147ff8,6411a5b90c22643b62148008,6411a5ba0c22643b62148016,6411a5bb0c22643b62148024,6411a5bc0c22643b62148032,,
LepreCoin,2,533 500,1400490,3676365,9650550,25332720,66498390,3.00%,3.70%,4.91%,6.13%,7.67%,11.50%,,64108bbc547cfab9a23562b7,6411a5bd0c22643b62148040,6411a5bd0c22643b6214804e,6411a5be0c22643b6214805c,6411a5bf0c22643b6214806a,6411a5c00c22643b62148078,,
New Beginnings,2,125 000,328125,861420,2261280,5935860,15581685,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,641828e5547cfab9a2307e13,64184a80fa82fb9f08b1a6dc,64184a81fa82fb9f08b1a6ec,64184a82fa82fb9f08b1a6fa,64184a83fa82fb9f08b1a708,64184a83fa82fb9f08b1a716,,
Demon Speeding,2,10,,,,,,0.00%,,,,,,,6422f238f1cff2d95bf745a0,,,,,,,
RPMiner,2,15 400,40425,106155,278670,731535,1920345,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422f238f1cff2d95bf745a1,6424128610f9251eee27d70b,6424128710f9251eee27d71d,6424128810f9251eee27d72b,6424128910f9251eee27d739,6424128a10f9251eee27d747,,
Smokin' Hotrod,2,36 300,95340,250320,657090,1724940,4528020,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422f238f1cff2d95bf745a2,6424128c10f9251eee27d755,6424128d10f9251eee27d763,6424128e10f9251eee27d771,6424128f10f9251eee27d77f,6424129110f9251eee27d78d,,
Nitro-Mine,2,78 500,206115,541065,1420335,3728445,9787260,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422f238f1cff2d95bf745a3,6424129210f9251eee27d79b,6424129210f9251eee27d7a9,6424129310f9251eee27d7b7,6424129410f9251eee27d7c5,6424129510f9251eee27d7d3,,
Twin-Tire Driller,2,114 000,299250,785610,2062305,5413590,14210700,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422f238f1cff2d95bf745a4,6424129610f9251eee27d7e1,6424129710f9251eee27d7ef,6424129810f9251eee27d7fd,6424129910f9251eee27d80b,6424129a10f9251eee27d819,,
Gear Grabber,2,152 550,400470,1051260,2759610,7244055,19015710,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422f238f1cff2d95bf745a5,6424129a10f9251eee27d827,6424129b10f9251eee27d835,6424129c10f9251eee27d843,6424129d10f9251eee27d851,6424129e10f9251eee27d85f,,
Blaze-Boosted,2,213 600,560700,1471890,3863790,10142475,26624010,0.00%,0.77%,2.30%,2.88%,3.60%,5.40%,,6422f238f1cff2d95bf745a6,6424129e10f9251eee27d86d,6424129f10f9251eee27d87b,642412a010f9251eee27d889,642412a110f9251eee27d897,642412a210f9251eee27d8a5,,
M-Engine,2,188 000,493500,1295490,3400740,8926995,23433375,0.00%,0.67%,2.01%,2.51%,3.13%,4.70%,,6422ee79b78c58eb24801eb7,642412a210f9251eee27d8b3,642412a310f9251eee27d8c1,642412a410f9251eee27d8cf,642412a510f9251eee27d8dd,642412a610f9251eee27d8eb,,
Classic Fury,2,418 000,1097250,2880360,7560945,19847520,52099740,0.00%,1.49%,4.48%,5.60%,7.00%,10.50%,,6422effbb78c58eb24801eb9,642412a710f9251eee27d8f9,642412a710f9251eee27d907,642412a810f9251eee27d915,642412a910f9251eee27d923,642412aa10f9251eee27d931,,
Winkin' Scarlet,2,1 136 000,2982000,7827750,20547870,53938185,141587775,0.00%,1.64%,4.91%,6.13%,7.67%,11.50%,,6422f084b78c58eb24801ebb,642412ab10f9251eee27d93f,642412ab10f9251eee27d94d,642412ac10f9251eee27d95b,642412ad10f9251eee27d969,642412ae10f9251eee27d977,,
Death Proof Digger,1,22 000,57750,151620,398055,1044960,2743020,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422fb6cb78c58eb24801ebd,642412af10f9251eee27d985,642412b010f9251eee27d993,642412b110f9251eee27d9a1,642412b110f9251eee27d9af,642412b210f9251eee27d9bd,,
Fury Fueler,2,22 400,58800,154350,405195,1063650,2792160,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422fd40b78c58eb24801ebf,642412b310f9251eee27d9cb,642412b510f9251eee27d9d9,642412b510f9251eee27d9e7,642412b610f9251eee27d9f5,642412b710f9251eee27da03,,
Ghostly Pumper,2,22 800,59850,157185,412650,1083285,2843715,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422fdd5b78c58eb24801ec1,642412b810f9251eee27da11,642412b910f9251eee27da1f,642412b910f9251eee27da2d,642412ba10f9251eee27da3b,642412bb10f9251eee27da49,,
Immortan Income,2,23 200,60900,159915,419790,1101975,2892750,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422fe93b78c58eb24801ec3,642412bc10f9251eee27da57,642412bd10f9251eee27da65,642412be10f9251eee27da73,642412bf10f9251eee27da81,642412c010f9251eee27da8f,,
Toxic Crusader,2,35 400,92925,244020,640605,1681680,4414410,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422ff13b78c58eb24801ec5,642412c010f9251eee27da9d,642412c110f9251eee27daab,642412c210f9251eee27dab9,642412c310f9251eee27dac7,642412c410f9251eee27dad5,,
Gas Town Bitminer,2,48 000,126000,330750,868245,2279235,5983005,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422ff81b78c58eb24801ec7,642412c510f9251eee27dae3,642412c510f9251eee27daf1,642412c610f9251eee27daff,642412c710f9251eee27db0d,642412c810f9251eee27db1b,,
Inferno Igniter,1,67 200,176400,463050,1215585,3190950,8376270,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6422ffffb78c58eb24801ec9,642412c910f9251eee27db29,642412ca10f9251eee27db37,642412cb10f9251eee27db45,642412cc10f9251eee27db53,642412cd10f9251eee27db61,,
Thunderdome Tinkerer,2,92 400,242550,636720,1671390,4387425,11517030,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,64230073b78c58eb24801ecb,642412ce10f9251eee27db6f,642412ce10f9251eee27db7d,642412cf10f9251eee27db8b,642412d010f9251eee27db99,642412d110f9251eee27dba7,,
Skull'n'Fire,2,199 500,523740,1374870,3609060,9473835,24868830,0.00%,0.71%,2.13%,2.67%,3.33%,5.00%,,642300dfb78c58eb24801ecd,642412d210f9251eee27dbb5,642412d310f9251eee27dbc3,642412d410f9251eee27dbd1,642412d510f9251eee27dbdf,642412d610f9251eee27dbed,,
Pip-Hamster,2,862 100,2263065,5940585,15594075,40934460,107453010,0.00%,1.64%,4.91%,6.13%,7.67%,11.50%,,64230161b78c58eb24801ecf,642412d710f9251eee27dbfb,642412d810f9251eee27dc09,642412d810f9251eee27dc17,642412d910f9251eee27dc25,642412da10f9251eee27dc33,,
Road Warrior,2,220 000,,,,,,0.25%,,,,,,,644bbdd2648294b4642f3695,,,,,,,
Blacktop Bandit,2,220 000,,,,,,0.25%,,,,,,,644bbe15648294b4642f3696,,,,,,,
Nitro Nomad,2,220 000,,,,,,0.25%,,,,,,,644bbece648294b4642f3697,,,,,,,
Dust Daredevil,2,220 000,,,,,,0.25%,,,,,,,644bbf0a648294b4642f3698,,,,,,,
Desert Drifter,2,220 000,,,,,,0.25%,,,,,,,644bbf44648294b4642f3699,,,,,,,
Night Rider,2,220 000,,,,,,0.25%,,,,,,,644bbf6f648294b4642f369a,,,,,,,
RollerGirl Dream,2,220 000,,,,,,0.25%,,,,,,,644bbfb1648294b4642f369b,,,,,,,
Dreamsrunner,2,220 000,,,,,,0.25%,,,,,,,644bbfe6648294b4642f369c,,,,,,,
Moon Knight,2,220 000,,,,,,0.25%,,,,,,,644bc010648294b4642f369d,,,,,,,
Riding Free Relic,2,5 000 000,15000000,40000000,100000000,250000000,750000000,2.50%,5.00%,12.00%,20.00%,35.00%,50.00%,,644bb671648294b4642f3690,689da44e53f26e9a07a529af,689da44e53f26e9a07a529b9,689da44e53f26e9a07a529c3,689da44e53f26e9a07a529cd,689da44e53f26e9a07a529d7,,
Power Symbol,1,100,,,,,,0.00%,,,,,,,644bb225648294b4642f368d,,,,,,,
Star Symbol,1,100,,,,,,0.00%,,,,,,,644bb270648294b4642f368e,,,,,,,
Fang Symbol,1,100,,,,,,0.00%,,,,,,,644bb5de648294b4642f368f,,,,,,,
Ferdinand's Horse,2,265 000,695625,1826055,4793460,12582885,33030165,0.50%,0.95%,2.86%,3.57%,4.47%,6.70%,,64390b4a547cfab9a29380d9,643912a7d0698cfb0262aef3,643912a8d0698cfb0262af03,643912a9d0698cfb0262af11,643912aad0698cfb0262af1f,643912aad0698cfb0262af2d,,
Trattori,2,265 000,695625,1826055,4793460,12582885,33030165,0.50%,0.95%,2.86%,3.57%,4.47%,6.70%,,64390b6c547cfab9a2947fa3,643912abd0698cfb0262af3b,643912acd0698cfb0262af49,643912add0698cfb0262af57,643912aed0698cfb0262af65,643912aed0698cfb0262af73,,
Commendatore,2,265 000,695625,1826055,4793460,12582885,33030165,0.50%,0.95%,2.86%,3.57%,4.47%,6.70%,,64390b8d547cfab9a295722a,643912afd0698cfb0262af81,643912b0d0698cfb0262af8f,643912b1d0698cfb0262af9d,643912b2d0698cfb0262afab,643912b2d0698cfb0262afb9,,
Mission Control 321,2,33 000,86625,227430,597030,1567230,4114005,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6436d756547cfab9a213fc9f,6437cd96e3a7584658217885,6437cd97e3a7584658217893,6437cd98e3a75846582178a1,6437cd99e3a75846582178af,6437cd99e3a75846582178bd,,
Apollo Miner,2,147 000,385875,1012935,2659020,6979980,18322500,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,6436d787547cfab9a2155dfa,6437cd9ae3a75846582178cb,6437cd9be3a75846582178d9,6437cd9ce3a75846582178e7,6437cd9de3a75846582178f5,6437cd9ee3a7584658217903,,
Hand of the Blockchain,2,331 000,868875,2280810,5987205,15716505,41255865,1.50%,2.22%,3.54%,4.43%,5.53%,8.30%,,6436d7ba547cfab9a216c65b,6437cd9fe3a7584658217911,6437cda0e3a758465821791f,6437cda0e3a758465821792d,6437cda1e3a758465821793b,6437cda2e3a7584658217949,,
Washingtonian,2,448 000,1176000,3087000,8103375,21271425,55837530,2.00%,3.10%,4.78%,5.97%,7.47%,11.20%,,6436d7ec547cfab9a2182d27,6437cda3e3a7584658217957,6437cda3e3a7584658217965,6437cda4e3a7584658217973,6437cda5e3a7584658217981,6437cda6e3a758465821798f,,
Power Patriot,2,612 000,1606500,4217115,11069940,29058645,76279035,3.00%,3.64%,4.91%,6.13%,7.67%,11.50%,,6436d817547cfab9a2195c0c,6437cda6e3a758465821799d,6437cda7e3a75846582179ab,6437cda8e3a75846582179b9,6437cda9e3a75846582179c7,6437cdaae3a75846582179d5,,
Crypto Combo,2,677 300,1777965,4667250,12251610,32160555,84421470,1.50%,4.18%,4.91%,6.13%,7.67%,11.50%,,6436ce7a547cfab9a2d34625,6437cd92e3a758465821783f,6437cd93e3a758465821784d,6437cd94e3a758465821785b,6437cd95e3a7584658217869,6437cd96e3a7584658217877,,
Home Run Hasher,2,846 000,2220750,5829495,15302490,40169115,105443940,3.00%,4.72%,4.91%,6.13%,7.67%,11.50%,,6436ce2f547cfab9a2d120af,6437cd8ee3a75846582177f7,6437cd8fe3a7584658217807,6437cd90e3a7584658217815,6437cd91e3a7584658217823,6437cd92e3a7584658217831,,
Monstrocrab,2,45 500,119490,313740,823620,2162055,5675460,0.10%,0.55%,1.66%,2.08%,2.60%,3.90%,,644243ce547cfab9a2f2a3db,64424c64265a8703bec536ce,64424c65265a8703bec536de,64424c66265a8703bec536ec,64424c67265a8703bec536fa,64424c67265a8703bec53708,,
Titan Shellcrusher,2,316 100,829815,2178330,5718195,15010275,39401985,0.50%,1.10%,3.37%,4.21%,5.27%,7.90%,,64424400547cfab9a2f41f88,64424c68265a8703bec53716,64424c69265a8703bec53724,64424c6a265a8703bec53732,64424c6b265a8703bec53740,64424c6b265a8703bec5374e,,
Leviathan Clawster,2,618 000,1622250,4258485,11178615,29343930,77027895,1.00%,1.64%,4.91%,6.13%,7.67%,11.50%,,64424434547cfab9a2f5b450,64424c6c265a8703bec5375c,64424c6d265a8703bec5376a,64424c6e265a8703bec53778,64424c6f265a8703bec53786,64424c6f265a8703bec53794,,
Rust Runner,2,64 600,169575,445200,1168650,3067785,8052975,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,64491a76547cfab9a2c49655,64492affa84fda7c28288f0b,64492b00a84fda7c28288f1b,64492b01a84fda7c28288f29,64492b02a84fda7c28288f37,64492b03a84fda7c28288f45,,
Mega Stallion,2,166 500,437115,1147440,3012030,7906605,20754930,0.50%,0.60%,1.79%,2.24%,2.80%,4.20%,,64491aaf547cfab9a2c64491,64492b03a84fda7c28288f53,64492b04a84fda7c28288f61,64492b05a84fda7c28288f6f,64492b06a84fda7c28288f7d,64492b07a84fda7c28288f8b,,
Road Trip to Hell,2,482 400,1266300,3324090,8725815,22905330,60126570,1.50%,1.64%,4.91%,6.13%,7.67%,11.50%,,64491ae0547cfab9a2c7b2e1,64492b07a84fda7c28288f99,64492b08a84fda7c28288fa7,64492b09a84fda7c28288fb5,64492b0aa84fda7c28288fc3,64492b0ba84fda7c28288fd1,,
ToxiFilter 99,2,16 000,42000,110250,289485,759990,1995000,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,645230ae7dd1aacd1ea9bd00,6.45249088953173E+067,6.45249088953173E+077,6.45249098953173E+085,6452490a8953173292548e73,6452490b8953173292548e81,,
BioGauge 67,2,43 800,114975,301875,792435,2080155,5460420,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,645230f07dd1aacd1ea9bd01,6452490c8953173292548e8f,6452490c8953173292548e9d,6452490d8953173292548eab,6452490e8953173292548eb9,6452490f8953173292548ec7,,
RadExFiltration 90,1,107 500,282240,740880,1944810,5105205,13401255,0.00%,0.55%,1.66%,2.08%,2.60%,3.90%,,645231427dd1aacd1ea9bd02,645249108953173292548ed5,645249108953173292548ee3,645249118953173292548ef1,645249128953173292548eff,645249138953173292548f0d,,
ChemDose 55,2,175 000,459375,1205925,3165645,8309910,21813540,0.50%,0.92%,1.88%,2.35%,2.93%,4.40%,,6452319e7dd1aacd1ea9bd03,645249148953173292548f1b,645249148953173292548f29,645249158953173292548f37,645249168953173292548f45,645249178953173292548f53,,
PathoProbe 21,2,442 800,1162350,3051195,8009400,21024675,55189785,1.00%,1.58%,4.74%,5.92%,7.40%,11.10%,,645231e67dd1aacd1ea9bd04,645249188953173292548f61,645249188953173292548f6f,645249198953173292548f7d,6452491a8953173292548f8b,6452491b8953173292548f99,,
Smelt Smith,2,21 000,55125,144795,380100,997815,2619330,0.00%,0.25%,1.00%,2.08%,2.60%,3.90%,,645b8a87eccd3c43207474ce,645b981d7f78e084daf911d1,645b981e7f78e084daf911e3,645b981f7f78e084daf911f1,645b98207f78e084daf911ff,645b98217f78e084daf9120d,,
Inferno Miner,2,61 000,160125,420420,1103655,2897160,7605045,0.00%,0.35%,1.05%,2.08%,2.60%,3.90%,,645b8a87eccd3c43207474cf,645b98227f78e084daf9121b,645b98227f78e084daf91229,645b98237f78e084daf91237,645b98247f78e084daf91245,645b98257f78e084daf91253,,
Fire Forger,2,149 000,391125,1026795,2695350,7075320,18572715,0.50%,1.02%,1.66%,2.08%,2.60%,3.90%,,645b8a87eccd3c43207474d0,645b98267f78e084daf91261,645b98277f78e084daf9126f,645b98287f78e084daf9127d,645b98297f78e084daf9128b,645b982a7f78e084daf91299,,
It'sOkayer,2,282 000,740250,1943235,5101005,13390230,35149380,1.00%,1.64%,3.03%,3.79%,4.73%,7.10%,,645b8a87eccd3c43207474d1,645b982b7f78e084daf912a7,645b982b7f78e084daf912b5,645b982c7f78e084daf912c3,645b982d7f78e084daf912d1,645b982e7f78e084daf912df,,
Furry Rocker,2,690 000,1811250,4754610,12480930,32762520,86001615,1.50%,2.64%,4.91%,6.13%,7.67%,11.50%,,645b8a87eccd3c43207474d2,645b982f7f78e084daf912ed,645b98307f78e084daf912fb,645b98307f78e084daf91309,645b98317f78e084daf91317,645b98327f78e084daf91325,,
Nuclearburg,2,35 200,92400,242550,636720,1671390,4387425,0.00%,0.25%,1.00%,2.08%,2.60%,3.90%,,6463a05715a6792f949b49e7,6463a9d67982aa4292ea7660,6463a9d77982aa4292ea7670,6463a9d87982aa4292ea767e,6463a9d87982aa4292ea768c,6463a9d97982aa4292ea769a,,
Gamma Geiger 17,1,65 000,170625,447930,1175895,3086790,8102850,0.00%,0.35%,1.05%,2.08%,2.60%,3.90%,,6463a05715a6792f949b49e8,6463a9da7982aa4292ea76a8,6463a9db7982aa4292ea76b6,6463a9dc7982aa4292ea76c4,6463a9dd7982aa4292ea76d2,6463a9de7982aa4292ea76e0,,
Isotope Miner 23,2,164 300,431340,1132320,2972340,7802445,20481510,0.00%,0.58%,1.75%,2.19%,2.73%,4.10%,,6463a05715a6792f949b49e9,6463a9df7982aa4292ea76ee,6463a9df7982aa4292ea76fc,6463a9e07982aa4292ea770a,6463a9e17982aa4292ea7718,6463a9e27982aa4292ea7726,,
Gamma Geiger 77,2,260 400,683550,1794345,4710195,12364275,32456235,0.50%,1.24%,2.77%,3.47%,4.33%,6.50%,,6463a05715a6792f949b49ea,6463a9e37982aa4292ea7734,6463a9e37982aa4292ea7742,6463a9e47982aa4292ea7750,6463a9e57982aa4292ea775e,6463a9e67982aa4292ea776c,,
Fallout Finder 55,2,607 200,1593900,4184040,10983105,28830690,75680640,1.50%,2.64%,4.91%,6.13%,7.67%,11.50%,,6463a05715a6792f949b49eb,6463a9e67982aa4292ea777a,6463a9e77982aa4292ea7788,6463a9e87982aa4292ea7796,6463a9e87982aa4292ea77a4,6463a9e97982aa4292ea77b2,,
Rebirth Rover,2,44 000,115500,303240,796005,2089605,5485305,0.00%,0.25%,1.00%,2.08%,2.60%,3.90%,,646ca2f20134dd538d6797eb,646cc84775d80c24695df9b2,646cc84875d80c24695df9c2,646cc84975d80c24695df9d0,646cc84a75d80c24695df9de,646cc84b75d80c24695df9ec,,
Hope Harvester,2,135 000,354375,930300,2442090,6410565,16827825,0.00%,0.35%,1.05%,2.08%,2.60%,3.90%,,646ca3db0134dd538d6797ec,646cc84c75d80c24695df9fa,646cc84d75d80c24695dfa08,646cc84e75d80c24695dfa16,646cc84f75d80c24695dfa24,646cc85075d80c24695dfa32,,
Renewal Runner,2,210 500,552615,1450680,3808035,9996105,26239815,0.00%,0.75%,2.26%,2.83%,3.53%,5.30%,,646ca46a0134dd538d6797ed,646cc85475d80c24695dfa86,646cc85575d80c24695dfa94,646cc85675d80c24695dfaa2,646cc85775d80c24695dfab0,646cc85775d80c24695dfabe,,
Genesis Gear,2,455 000,1194375,3135300,8230215,21604380,56711550,1.00%,2.10%,4.86%,6.08%,7.60%,11.40%,,646ca4d60134dd538d6797ee,646cc85075d80c24695dfa40,646cc85175d80c24695dfa4e,646cc85275d80c24695dfa5c,646cc85375d80c24695dfa6a,646cc85475d80c24695dfa78,,
RollerMiner G1,1,3 500,9240,24255,63735,167370,439425,0.00%,0.08%,0.20%,0.41%,0.65%,0.98%,,646ddb26260e7d19c91846b8,646de73e09672fd5f06e2275,646de73f09672fd5f06e2285,646de73f09672fd5f06e2293,646de74009672fd5f06e22a1,646de74109672fd5f06e22af,,
Mergedge Mk. I,1,4 860,12810,33705,88515,232365,610050,0.00%,0.08%,0.20%,0.41%,0.65%,0.98%,,646ddba0260e7d19c91846b9,646de74209672fd5f06e22bd,646de74309672fd5f06e22cb,646de74309672fd5f06e22d9,646de74409672fd5f06e22e7,646de74509672fd5f06e22f5,,
Mergedge Mk. IV,2,6 450,17010,44730,117495,308490,809865,0.00%,0.08%,0.20%,0.41%,0.65%,0.98%,,646ddbed260e7d19c91846ba,646de74609672fd5f06e2303,646de74609672fd5f06e2311,646de74709672fd5f06e231f,646de74809672fd5f06e232d,646de74909672fd5f06e233b,,
Noms,2,260 000,682500,1791615,4703055,12345585,32407200,1.00%,1.74%,2.77%,3.47%,4.33%,6.50%,,646ddc2d260e7d19c91846bb,646de74a09672fd5f06e2349,646de74a09672fd5f06e2357,646de74b09672fd5f06e2365,646de74c09672fd5f06e2373,646de74d09672fd5f06e2381,,
Bubbles,2,260 000,682500,1791615,4703055,12345585,32407200,1.00%,1.74%,2.77%,3.47%,4.33%,6.50%,,646ddc59260e7d19c91846bc,646de74d09672fd5f06e238f,646de74e09672fd5f06e239d,646de74f09672fd5f06e23ab,646de75009672fd5f06e23b9,646de75109672fd5f06e23c7,,
